房间号   预订状态   预定方式   房客学号  费用
102    无       按日     无      0
103    无       按日     无      0
104    无       按日     无      0
105    无       按日     无      0
106    无       按日     无      0
201   2024-11-28 00:02   按日   2024212329   0
202    无       按日     无      0
203    无       按日     无      0
204    无       按日     无      0
205    无       按日     无      0
206    无       按日     无      0
301   无   按日   无
302    无       按日     无      0
303    无       按日     无      0
304    无       按日     无      0
305    无       按日     无      0
306    无       按日     无      0
401    无       按日     无      0
402    无       按日     无      0
403    无       按日     无      0
404    无       按日     无      0
405    无       按日     无      0
406    无       按日     无      0
501    无       按日     无      0
502    无       按日     无      0
503    无       按日     无      0
504    无       按日     无      0
505    无       按日     无      0
506    无       按日     无      0
601    无       按日     无      0
602    无       按日     无      0
603    无       按日     无      0
604    无       按日     无      0
605    无       按日     无      0
606    无       按日     无      0
