房间号	是否有人入住	押金（已有人入住）	押金（按日）	押金（按小时）	每日住宿费	每小时住宿费	预约状态
101	无	0	100	20	300	50	未预约  
102	无	0	120	25	330	55	未预约
103	无	0	100	20	350	60	未预约
104	无	0	120	25	330	55	未预约
105	无	0	120	25	330	55	未预约
106   无   0   100  20  310   52   已预约
201   有   0   100  20  300   50   未预约
202	无	0	120	25	350	60	未预约
203   有   0   100  20  320   55   未预约
204	无	0	100	20	310	52	未预约
205	无	0	110	22	340	58	未预约
206	无	0	100	20	300	50	未预约
301	无	0	100	20	330	55	未预约
302	无	0	120	25	350	60	未预约
303	无	0	100	20	320	55	未预约
304	无	0	100	20	310	52	未预约
305	无	0	110	22	330	55	未预约
306	无	0	100	20	300	50	未预约
401	无	0	100	20	350	60	未预约
402	无	0	120	25	380	65	未预约
403	无	0	100	20	330	55	未预约
404	无	0	100	20	320	53	未预约
405	无	0	110	22	340	58	未预约
406	无	0	100	20	310	52	未预约
501	无	0	100	20	330	55	未预约
502	无	0	120	25	360	60	未预约
503	无	0	100	20	320	55	未预约
504	无	0	100	20	310	52	未预约
505	无	0	110	22	330	55	未预约
506	无	0	100	20	300	50	未预约
601	无	0	100	20	340	58	未预约
602	无	0	120	25	380	65	未预约
603	无	0	100	20	350	60	未预约
604	无	0	100	20	330	55	未预约
605	无	0	110	22	340	58	未预约
606	无	0	100	20	320	55	未预约
